,business_id,price,business_name,immediate_categories,parent_categories
0,r_BrIgzYcwo1NAuG9dLbpg,$$,Pai Northern Thai Kitchen,Thai,Restaurants
1,RtUvSWO_UZ8V3Wpj0n077w,$$,KINKA IZAKAYA ORIGINAL,"Japanese, Pubs","Bars,Restaurants"
2,aLcFhMe6DDJ430zelCpd2A,$$,Khao San Road,Thai,Restaurants
3,iGEvDk6hsizigmXhDKs2Vg,$,Seven Lives Tacos Y Mariscos,Mexican,Restaurants
4,N93EYZy9R0sdlEvubu94ig,$,Banh Mi Boys,"Vietnamese, Sandwiches",Restaurants
5,RwRNR4z3kY-4OsFqigY5sw,$,Uncle Tetsu's Japanese Cheesecake,"Desserts, Bakeries",Food
6,zgQHtqX0gqMw1nlBZl2VnQ,$$,Momofuku Noodle Bar,"Noodles, Ramen","Japanese,Restaurants"
7,uAAWlLdsoUf872F1FKiX1A,$$,Bang Bang Ice Cream and Bakery,"Desserts, Ice Cream & Frozen Yogurt",Food
8,B70iTJjcPkuYn8ouUewWgw,$$,Gusto 101,Italian,Restaurants
9,-av1lZI1JDY_RZN2eTMnWg,$$,Salad King Restaurant,Thai,Restaurants
10,e41TP5cXZqSrz50xCBJqZw,$$,Insomnia Restaurant & Lounge,"Comfort Food, Lounges, Breakfast & Brunch","Bars,Restaurants"
11,a8pmtlVKf7NiSLI-4KejIw,$$$,El Catrin Destileria,Mexican,Restaurants
12,_xAJZOKBMPOe47p1MphB2w,$$$,Fishman Lobster Clubhouse Restaurant,"Chinese, Seafood",Restaurants
13,f5O7v_X_jCg2itqacRfxhg,$$,Sansotei Ramen,"Noodles, Ramen","Japanese,Restaurants"
14,mG71gQ5HWl7ut9OCN6NJKA,$$$$,360 Restaurant,Canadian (New),Restaurants
15,kOFDVcnj-8fd3doIpCQ06A,$$,Mildred's Temple Kitchen,"Canadian (New), Breakfast & Brunch",Restaurants
16,DE89UdHFMCN6DtYWZuer5A,$$,Hokkaido Ramen Santouka,"Noodles, Ramen","Japanese,Restaurants"
17,Yl2TN9c23ZGLUBSD9ks5Uw,$$$,Byblos,"Mediterranean, Middle Eastern",Restaurants
18,h_4dPV9M9aYaBliH1Eoeeg,$$,Wvrst,"Beer Bar, German","Bars,Restaurants"
19,-9dmhyBvepc08KPEHlEM0w,,CN Tower,"Observatories, Landmarks & Historical Buildings","Arts & Entertainment,Public Services & Government"
20,mZRKH9ngRY92bI_irrHq6w,$$$,Richmond Station,Canadian (New),Restaurants
21,0a2O150ytxrDjDzXNfRWkA,$$$,Miku,"Japanese, Sushi Bars",Restaurants
22,k6zmSLmYAquCpJGKNnTgSQ,$$,The Stockyards,"Barbeque, Burgers, American (Traditional)",Restaurants
23,O1TvPrgkK2bUo5O5aSZ7lw,$$,Rol San,Dim Sum,Chinese
24,N_2yEZ41g9zDW_gWArFiHw,$$,Sweet Jesus,"Desserts, Ice Cream & Frozen Yogurt, Coffee & Tea",Food
25,MS-hfug4QDXqb_Mws3qlzA,$$,Grand Electric,"Bars, Mexican","Restaurants,Nightlife"
26,JMiaNitMzMbJm6Kh0RbT5A,$$$$,Canoe,Canadian (New),Restaurants
27,8I5U8OQ06nSxX2y4PPOWzQ,$$,Japango,Sushi Bars,Restaurants
28,Fx5haZv9PP3E7Ljp-h7B1Q,$$,Eggspectation,"Juice Bars & Smoothies, Breakfast & Brunch","Food,Restaurants"
29,nBl_4gw5ecGzNkHyzfii8g,$$,Terroni,Italian,Restaurants
30,O-uIEuv7JLUHajkemx_sVw,$$,Beerbistro,"Bistros, Beer Bar","Bars,Restaurants"
31,crstB-H5rOfbXhV8pX0e6g,$$,Ramen Isshin,Ramen,Japanese
32,snw9iNNLpFYZeHotW00uVA,$$$,Lee Restaurant,Asian Fusion,Restaurants
33,SjgeuBlgKER9yegpoxT99w,$$,Nomé Izakaya,"Japanese, Lounges, Tapas Bars","Bars,Restaurants"
34,htVvtLIFftBLqzRISjReDw,$$,The Cheesecake Factory,"Desserts, American (Traditional)","Food,Restaurants"
35,RA00GtlU25TkIP9i9wd8bg,,Ripley's Aquarium of Canada,Aquariums,Active Life
36,fGurvC5BdOfd5MIuLUQYVA,$,Dumpling House Restaurant,Chinese,Restaurants
37,trKyIRyjKqVSZmcU0AnICQ,$$,Pearl Diver,"Comfort Food, Breakfast & Brunch, Seafood",Restaurants
38,jc3p5SFyt9qrrMXt6E13ig,$$,Tsujiri,"Tea Rooms, Desserts, Ice Cream & Frozen Yogurt",Food
39,i--dxuKd_6Dx7mwgQ5nl-g,$$,School Restaurant,"Canadian (New), Breakfast & Brunch, Bakeries","Food,Restaurants"
40,yg_A_TpYkJjr1fef0J6QkQ,$$,Konjiki Ramen,Ramen,Japanese
41,UxWH8zRYIBgs6Q2oykvRdw,$$$,Cluny Bistro & Boulangerie,"Wine Bars, French, Cocktail Bars","Bars,Restaurants"
42,KVpvE6pOPM9KMvak4HFsNg,$$,Pizzeria Libretto,"Pizza, Italian",Restaurants
43,VRwT0pscR5vESCrAnUpNwQ,$$,Wilbur Mexicana,Mexican,Restaurants
44,ZumOnWbstgsIE6bJlxw0_Q,$$$$,Jacobs & Co. Steakhouse,Steakhouses,Restaurants
45,zA6gnF5aPBGoOm6uIbKt-A,$$$,Yuzu No Hana,"Japanese, Sushi Bars",Restaurants
46,HkHTdTvzbn-bmeQv_-2u0Q,$$,Bannock,"Canadian (New), Breakfast & Brunch, Sandwiches",Restaurants
47,BUcTdN-rNE8urCCQuxSOQA,$$,Mother's Dumplings,Chinese,Restaurants
48,7oEKIG7d1ttPRejppZ3WIA,$$,Lady Marmalade,"Breakfast & Brunch, Mexican",Restaurants
49,G24p1oGGfY3t-m8Z2lPCaQ,$$,Tinuno,Filipino,Restaurants
50,XYIPXJ9parr9FtvvcGI1SA,$$,GB Hand-pulled Noodles,"Chinese, Noodles",Restaurants
51,yY3jNsrpCyKTqQuRuLV8gw,$$$,Cactus Club Cafe,"Canadian (New), Cocktail Bars","Bars,Restaurants"
52,pSMK_FtULKiU-iuh7SMKwg,$$,Blaze Fast-Fire'd Pizza,"Salad, Pizza, Fast Food",Restaurants
53,Qmwfg-PtYuCo5Q_IwcA_HQ,$$$,JaBistro,"Japanese, Sushi Bars",Restaurants
54,RUd_M7DPJq1I3DPq0oF--w,$$,Lahore Tikka House,"Halal, Pakistani",Restaurants
55,SW6ZQk22G1_CV81_gfnvNQ,$$,La Carnita,Mexican,Restaurants
56,MhiBpIBNTCAm1Xd3WzRzjQ,$$,Messini Authentic Gyros,"Greek, Sandwiches",Restaurants
57,wSojc-y-d7MWiGWdy8deCg,$$,Barque Smokehouse,"Barbeque, Smokehouse","Food,Restaurants"
58,ttuEwktrkmh3TUlSFPZqAA,$,Banh Mi Boys,"Vietnamese, Asian Fusion",Restaurants
59,vh1tPEaPioD78QmoqnWXpw,$$,Sukho Thai,Thai,Restaurants
