Pai Northern Thai Kitchen,2177
Banh Mi Boys,1636
Starbucks,1576
Khao San Road,1467
KINKA IZAKAYA ORIGINAL,1425
Seven Lives Tacos Y Mariscos,1183
Terroni,1154
The Burger's Priest,1113
Jack Astor's Bar & Grill,1051
La Carnita,1047
KINTON RAMEN,1034
Uncle Tetsu's Japanese Cheesecake,1011
Momofuku Noodle Bar,930
Bang Bang Ice Cream and Bakery,916
Salad King Restaurant,903
Pizzeria Libretto,898
Sweet Jesus,876
Gusto 101,864
Insomnia Restaurant & Lounge,857
Sansotei Ramen,849
Aroma Espresso Bar,830
El Catrin Destileria,793
The Captain's Boil,791
Hokkaido Ramen Santouka,781
Burrito Boyz,770
360 Restaurant,750
Wvrst,731
Mildred's Temple Kitchen,723
The Stockyards,721
Fishman Lobster Clubhouse Restaurant,712
Byblos,708
Japango,661
Grand Electric,660
Richmond Station,659
Tsujiri,658
The Pickle Barrel,656
McDonald's,654
Tim Hortons,645
Smoke's Poutinerie,642
Rol San,640
CN Tower,638
Eggspectation,633
Fran's Restaurant,630
Canoe,623
Miku,620
The Bier Markt,619
Beerbistro,608
Amsterdam BrewHouse,595
Katsuya,579
Lee Restaurant,575
Nomé Izakaya,573
Sabai Sabai Kitchen and Bar,561
Korean Grill House,556
Ramen Isshin,552
Spring Rolls,551
Sukho Thai,547
Cibo Wine Bar,546
Big Smoke Burger,533
Pearl Diver,529
Banjara Indian Cuisine,525
Starving Artist,523
Dumpling House Restaurant,522
Chipotle Mexican Grill,519
Mother's Dumplings,516
Ravi Soups,512
Shoppers Drug Mart,510
Oliver & Bonacini Café Grill,510
Yuzu No Hana,506
St Lawrence Market,505
Bannock,502
Ripley's Aquarium of Canada,500
Jacobs & Co. Steakhouse,496
Paramount Middle Eastern Kitchen,494
Matsuda Japanese Cuisine,490
School Restaurant,484
Jimmy's Coffee,482
Milestones Restaurants,476
Black Hoof,474
Wilbur Mexicana,473
Caplansky's Delicatessen,472
Cluny Bistro & Boulangerie,470
Lady Marmalade,464
The Cheesecake Factory,463
St. Louis Bar & Grill,463
Blaze Fast-Fire'd Pizza,463
Barque Smokehouse,462
Swiss Chalet Rotisserie & Grill,458
Lahore Tikka House,456
Loblaws,455
JaBistro,453
Messini Authentic Gyros,452
Soma Chocolatemaker,446
Buk Chang Dong Soon Tofu,439
The Senator,437
Pho Hung,433
Mill Street Brew Pub,432
GB Hand-pulled Noodles,431
Real Sports Bar & Grill,431
KINKA IZAKAYA BLOOR,431
Sukhothai,430
JOEY Eaton Centre,428
Sneaky Dee's,427
SCADDABUSH Italian Kitchen & Bar,423
Kekou Gelato House,423
Ginger,422
Patria,421
Levetto,420
Cactus Club Cafe,419
Nadege,418
La Cubana,416
Manpuku Japanese Eatery,415
Jatujak,414
Sunset Grill,413
Saku Sushi,412
Freshii,409
Playa Cabana,408
Under The Table Restaurant,408
Bar Hop,406
Konjiki Ramen,406
Ka Chi,404
Pizzaiolo,402
Buca,401
The Hogtown Vegan,400
Asian Legend,398
Lola's Kitchen,398
The Lakeview,397
Fat Ninja Bite,397
Wild Wing,397
King's Noodle Restaurant,391
Beast Restaurant,389
Wow Sushi,389
Jamie's Italian,388
Maha's,387
Earls Kitchen + Bar,386
Le Sélect Bistro,385
Bar Isabel,383
Kaiju,383
MeNami,383
Grazie Ristorante,380
Porchetta & Co,377
Holy Chuck,371
GoodLife Fitness,369
The Queen And Beaver Public House,368
Touhenboku Ramen Restaurant,368
Little India Restaurant,368
Kenzo Ramen,367
Union Social Eatery,366
The Drake Hotel,366
The Chase Fish & Oyster,365
7 West Cafe,364
Pho Tien Thanh,363
House of Gourmet,361
Millie Creperie,361
Prohibition Gastrohouse,361
The Dirty Bird Chicken + Waffles,359
Fresh on Spadina,358
Kekou Gelato,357
Marché Restaurant,357
Emma's Country Kitchen,356
Fresco's Fish & Chips,356
The Gabardine,355
Fat Bastard Burrito,353
Smoque N' Bones,353
Sushi On Bloor,349
Rodney's Oyster House,347
Copacabana Brazilian Steak House,345
Raijin Ramen,344
Planta,343
Poutini's House of Poutine,342
Second Cup,341
The Carbon Bar,341
Buster's Sea Cove,341
Poke Guys,341
Tinuno,340
Burrito Bandidos,337
The Loose Moose,337
Ritz Caribbean Foods,336
Le Petit Déjeuner,336
Aunties & Uncles,336
Ed's Real Scoop,336
Snakes & Lattes Annex,332
Sugar Marmalade,331
Ajisen Ramen,331
